period,z_m,n_mu,eps1,eps2,eps3,eps6d,mean_p
1,4.2501999999999995,1407,63.604389341973416,60.27080792784794,4.678270975692233,17934.09533448291,272.67796930542295
2,8.4502,1420,80.60110360272955,51.8002378963599,5.109935450493806,21334.779399918953,269.7709637183127
3,12.6502,1366,79.41617811791158,47.46561442653657,4.464271819359751,16828.24088047227,253.95562904765382
4,16.8502,1338,77.44990191985667,45.07930138477676,4.07743079889876,14235.890804600802,245.69287586087813
5,21.0502,1308,83.34462700840523,40.30328823142372,3.8629763260990617,12975.979011421718,248.75317227674861
6,25.2502,1219,71.26109691255107,36.33172655746541,3.5983751786142184,9316.332548535054,252.96119431300946
7,29.450200000000002,1163,68.34610632522757,32.28497394573752,3.3235207265255577,7333.522176927421,250.93504671769986
8,33.6502,1130,67.75202035216707,29.429814590484114,3.0946568039482467,6170.527175312414,244.6468157549232
9,37.850199999999994,1101,64.91978015484754,26.630599607251607,2.951902467884896,5103.4044687749,237.45665508076607
10,42.0502,1091,63.74367934373113,25.271508736126467,2.674352266115184,4308.111255831708,237.65122185574432
11,46.2502,1061,63.10177097093871,23.823977698516483,2.5875778338736644,3889.9967999026576,239.84252158151565
12,50.450199999999995,1020,53.631469445239745,20.72695065486981,2.5638324269451296,2849.999251349946,236.74532664247317
13,54.6502,986,49.07139190167919,21.01626832602297,2.2514791465713135,2321.944903727836,231.7588118921605
14,58.850199999999994,968,49.00429828374939,19.37213732691734,2.271657303712006,2156.5251590723515,229.9221134765433
15,63.0502,940,43.411464199693434,18.42669554073806,2.1294623655729974,1703.4204761450744,230.27667776995216
16,67.25019999999999,922,38.996448315838265,17.336750878461643,2.1292414561694657,1439.519911416217,229.48785419875935
17,71.4502,907,38.52848488134989,16.45953652743575,2.046283818306867,1297.673401200738,229.13565441017394
18,75.6502,895,34.233415215779225,15.469512339168128,1.9668447896024845,1041.5903328665138,227.01184264087624
19,79.8502,888,33.97050819368134,14.920148482323004,2.0635918277542067,1045.9212541480106,226.5400336060995
20,84.0502,873,30.270834923714293,14.842814996706355,1.8738861306847112,841.9452884287466,224.53802518109723
21,88.25019999999999,860,30.100465212284515,13.448188165078252,1.8451561902859566,746.9131737730094,222.87160815779563
22,92.4502,854,28.474574142201075,13.279012918921055,1.6905212019250133,639.2101359113232,221.1327211551275
23,96.6502,837,26.390089576467865,12.842782062024385,1.6151622294144266,547.4142861250409,221.49271954075786
24,100.8502,830,24.627341671801176,12.152378501854642,1.566497380079216,468.8225538465091,221.04935594956353
25,105.0502,833,26.575786751306975,12.576218930741526,1.5894372320080616,531.2263408241129,221.33937563116834
26,109.25019999999999,825,23.186424332673745,11.885081379369717,1.5264707215227695,420.6534141036944,220.0956938498518
27,113.4502,817,22.103657221959548,11.90139186585352,1.5273748756769825,401.7977815321801,219.6473143160012
28,117.6502,810,21.186829309143178,10.486517721834787,1.4933934720335986,331.7962791691356,217.6559802976098
29,121.8502,807,20.557819736160024,10.931852134775486,1.2924131275681292,290.45052311808854,215.64300597731008
30,126.0502,796,17.967006484644465,10.203398490021776,1.317647526687367,241.5571093661034,216.30926312514586
31,130.2502,784,14.953521986122245,12.213587436606046,0.950900084943514,173.66872889677185,218.76651497365512
