period,z_m,n_mu,eps1,eps2,eps3,eps6d,mean_p
1,4.2501999999999995,1411,68.73719002647456,61.06696492761097,4.293182268666553,18020.939846813093,261.9810376648215
2,8.4502,1380,97.3608054761917,67.56675914570485,7.167296208880835,47149.012357467094,260.51799722869055
3,12.6502,1240,94.30768105238656,56.01588508093247,5.8314517645803505,30805.974824108092,249.9144019154845
4,16.8502,1144,94.39844429814168,47.284891609920756,4.07602333752225,18193.82013268247,246.47666226079915
5,21.0502,1073,93.94715088128974,43.28813988733648,3.463358695518205,14084.778170638565,250.61700154957876
6,25.2502,1001,85.34364792193377,37.99868323329158,3.132826713456235,10159.58862149801,250.65817290676557
7,29.450200000000002,970,84.22909043740366,34.645565671463494,2.804087399239146,8182.788259043186,247.07863112260017
8,33.6502,917,74.54618855298567,29.674956299630974,2.6423945424810302,5845.3860021537075,243.38582763267473
9,37.850199999999994,898,74.40722769601385,26.772794014370287,2.3617959764585144,4704.908683104564,238.77203236664337
10,42.0502,893,75.09783271361934,25.51167451485351,2.05536550333763,3937.8161179093054,235.84877438677455
11,46.2502,859,71.5704950164646,21.809677930236145,1.9969522065127983,3117.1015006349962,237.12614188955695
12,50.450199999999995,832,68.10812792495159,20.67965831422027,1.9794689041214029,2787.988548055556,235.19197206486024
13,54.6502,800,62.17841770893965,18.837951027078272,1.877012836981742,2198.5713911284247,233.28835851186332
14,58.850199999999994,784,62.15281757280051,18.191172418020678,1.7818443727320818,2014.6113728797084,230.58289912716972
15,63.0502,767,56.5150244739279,17.417201029755496,1.7032656135870368,1676.5814751791684,229.1550974083825
16,67.25019999999999,751,56.10898708870062,15.989735425287876,1.5956630329036134,1431.5775861643694,227.38388862997363
17,71.4502,735,54.169212400674944,15.312718996017471,1.4889645509365446,1235.0632301699873,224.72131296026356
18,75.6502,711,50.66617924630769,13.943930345480965,1.442541947134969,1019.1352202019597,222.77808760314835
19,79.8502,695,48.422830852466475,12.926495612034824,1.5339736808395776,960.1716670135626,223.617316494535
20,84.0502,675,45.40886030422329,11.918746955074404,1.3324529380484198,721.1458026680516,223.77886679442935
21,88.25019999999999,660,44.57433378475192,11.418395255528546,1.3471608784155915,685.6609176767845,222.60425001011882
22,92.4502,646,41.530724527516035,12.045141789636846,1.2375691808086,619.08589587829,218.37281661842022
23,96.6502,641,42.384076468647905,11.788424067067469,1.256646630172632,627.872765930044,217.76773380134154
24,100.8502,621,36.06830044299365,10.377460121113208,1.1836118388428813,443.02277409617784,220.85131945253596
25,105.0502,612,33.29637656118348,10.45001491257413,1.121356207337566,390.17323652200054,221.1643068044206
26,109.25019999999999,612,39.70548948168798,10.300980960728538,1.1341502445454597,463.8736778504839,217.98738221919717
27,113.4502,604,36.739225105995025,10.150861130422497,1.0986877922549538,409.7388814029821,217.02793306352058
28,117.6502,594,32.262050977885245,10.01701063496948,1.1078505598664299,358.0232985240395,218.05574648900068
29,121.8502,584,28.29012343077552,8.71354009400991,1.1358003056918335,279.98286767869394,218.03858119315885
30,126.0502,575,25.156178093835663,9.14527232668468,1.0177824806653368,234.15113863556059,215.28844460374447
31,130.2502,563,24.180415694863232,11.225249977188863,0.7633484866427859,207.1966039362125,214.8890156519995
