number,score,loss,transmission,cooling_factor,eps6d_in,eps6d_out,n_in,n_out,ok,wall_seconds,p_BLS,p_Grad,p_Grad0,p_delf,p_pitchFactor,p_dtRF,p_wedgeScale
0,3.7680306773200822,-3.7680306773200822,0.4564459930313589,94.85179016813392,30248.102248817628,318.89859110935026,287,131,1,101.8672206401825,22.14017899989482,20.262274626550052,22.821443539882402,0.053584088003806055,1.061312831136874,0.013827957676720626,1.2324322739955202
1,4.125491780475189,-4.125491780475189,0.4536082474226804,136.45748829573776,51088.662602910685,374.3925177062374,291,132,1,103.92457556724548,23.43989349261924,23.287993942307388,23.844009366697907,0.05722930798877886,0.5973207499786598,-0.010567067013770082,1.3416012850475512
2,3.17194281960069,-3.17194281960069,0.4594594594594595,51.91705703937597,29307.575851135127,564.5076497480798,296,136,1,104.5989363193512,22.353271231160456,29.848770913433725,16.822451050719692,-0.02749126108284171,1.3868731575959665,0.4457537121860665,1.0680488516818563
3,3.805465597093744,-3.805465597093744,0.5778546712802768,77.78110013290852,22854.472390789964,293.8306651839247,289,167,1,119.6171624660492,21.588913782147273,26.38099136699331,18.612145906079412,-0.00950873299635218,1.459875458458292,0.2401593543637106,1.2682349387189031
4,2.046271952957099,-2.046271952957099,0.1864406779661017,44.42092908811563,32917.498067779554,741.0357852372408,295,55,1,80.17465281486511,23.527935466550225,18.32711751477238,23.24316197713407,-0.05486462806530811,1.2211565097269892,0.48771751487295767,1.4078335835512965
5,1.7343923487031958,-1.7343923487031958,0.13175675675675674,60.48566368752256,31282.72353888036,517.1923664505247,296,39,1,79.10417079925537,22.24914300037968,18.02173556466512,19.64199175755792,0.0338035441868941,0.768006443037068,0.5000110958867775,0.7844776247370673
6,3.219692323574298,-3.219692323574298,0.5659722222222222,44.20786006963024,17132.80336720482,387.551067620544,288,163,1,119.50656151771545,19.140322049282897,23.532231377217155,24.323194357350214,-0.03324302073282576,0.6720574086898824,-0.02849614640154141,1.027933909181661
7,2.2315111189347454,-2.2315111189347454,0.41156462585034015,22.63054043419,17368.250545503048,767.4695439116983,294,121,1,106.10853219032288,22.38713190146792,27.575362254377623,22.85373416157489,0.0017434100445087725,1.1239836582772371,-0.5563114070820926,0.5022674162685098
8,3.4600751606427522,-3.4600751606427522,0.5400696864111498,58.91715234081929,18402.19371546716,312.34017572702095,287,155,1,115.71899771690369,22.7321267308145,19.864920855191453,19.14295864508621,0.013577080468796063,1.2637398533495112,-0.13781395360311854,0.6741329685671595
9,1.9848073644555273,-1.9848073644555273,0.15172413793103448,61.06128084193592,31998.8351245952,524.0446103223388,290,44,1,62.51385045051575,23.204353212488822,18.341893411624987,21.486540771146174,0.026570273088501017,1.1428176320728491,0.5811843114494483,1.2158994544563126
10,2.981544575617522,-2.981544575617522,0.3593220338983051,54.876260298412646,21033.876482171127,383.2964631297872,295,106,1,94.68356132507324,19.268839567596707,18.66684679004708,17.211258344419072,-0.01986825526549435,1.0717618414044596,0.21955521859528682,0.9164335564155393
11,3.702496071873174,-3.702496071873174,0.5536332179930796,73.24052915691773,15803.297747794173,215.77257742001876,289,160,1,113.57303476333618,22.92712636937521,20.970103114830533,16.66198901846696,0.004481728103442495,1.4819973806015274,-0.30536797828268697,1.404237164103705
12,3.397942642999631,-3.397942642999631,0.5358361774744027,55.80533346716185,15037.883549954495,269.4703644912973,293,157,1,117.66427087783813,20.590631334713084,23.757279209938957,24.32778457656452,0.03255233020749411,1.021757710424204,-0.4196495382090998,1.1063159755985434
13,4.25103207999913,-4.25103207999913,0.5155709342560554,136.11668041852448,27825.776630320852,204.42591271520584,289,149,1,113.10337996482849,23.577576516269012,24.161635868265986,22.393200004684207,0.039822704180463964,0.5838501678314669,-0.18155971669636342,1.5072762605291647
14,3.63357372265135,-3.63357372265135,0.4409722222222222,85.82815644277512,23984.918873266637,279.4528027554488,288,127,1,104.89496755599976,23.309219217205175,21.285239569498174,22.375701945653542,0.031138141017203858,0.6022712632497803,-0.12912815542844058,1.2804560438762207
15,4.275232670835525,-4.275232670835525,0.41114982578397213,174.86780039473632,53021.91472743388,303.2114237598078,287,118,1,95.72174787521362,23.52011269549111,23.566906754145236,25.73478338282825,0.05200395046993454,0.5365917983393739,0.10274393983115528,1.4544924074638126
16,3.419181874462445,-3.419181874462445,0.3972602739726027,76.88766692985402,23988.50797312524,311.9942239242398,292,116,1,103.24434733390808,23.25564294520343,21.836689044925492,24.25235631965044,0.034847161926022385,0.5971572327268478,-0.3003454798416239,1.4089446645523969
17,3.9975315582508055,-3.9975315582508055,0.49828178694158076,109.30269841195073,42772.446578262,391.3210487911013,291,145,1,106.15211486816406,23.672872536598256,25.353555634174757,21.27287998344145,0.04920246421985208,0.6370421765431972,-0.08868400687780169,1.1759298173952653
